Manufacturers,Model,Description,Transmission,Engine Capacity,Fuel Type,Metric Urban (cold),Metric Extra-urban,Metric Combined,Imperial (cold),Imperial Extra-urban,Imperial Combined,CO2 g/km,Fuel Cost 6000 Miles,Euro Standard,Noise Level dB(A),Emissions CO,Emissions HC+NOx,Emissions HC,Emissions NOx,Emissions Particulates
AUDI,"Audi A3 (3 door, S, SE, Sport and Sport Quattro)",1.9 TDI SE & Sport Models (110 bhp),M5,1896,Diesel,6.6,4.1,5.0,42.8,68.9,56.5,135,396,III,71.0,0.055,0.435,0.000,0.408,0.042
AUDI,"Audi A3 (3 door, S, SE, Sport and Sport Quattro)","1.9 TDI S, SE & Sport Models Tiptronic (130 bhp)",A5,1896,Diesel,9.0,5.0,6.5,31.4,56.5,43.5,176,514,III,68.0,0.033,0.462,0.000,0.450,0.027
AUDI,"Audi A3 (3 door, S, SE, Sport and Sport Quattro)","1.9 TDI S, SE & Sport Models (130 bhp)",M6,1896,Diesel,7.0,4.3,5.2,40.4,65.7,54.3,140,412,III,74.0,0.081,0.392,0.000,0.376,0.029
AUDI,"Audi A3 (3 door, S, SE, Sport and Sport Quattro)",1.9 TDI Quattro Sport (130 bhp),QM6,1896,Diesel,8.0,5.1,6.2,35.3,55.4,45.6,167,490,III,75.0,0.158,0.432,0.000,0.406,0.036
AUDI,"Audi A3 (3 door, S, SE, Sport and Sport Quattro)",1.9 TDI S (110 bhp),M5,1896,Diesel,6.5,4.0,4.9,43.5,70.6,57.6,132,388,III,71.0,0.055,0.435,0.000,0.408,0.042
AUDI,"Audi A3 (3 door, S, SE, Sport and Sport Quattro)",1.8 20v S (125 bhp),A4,1781,Petrol,11.9,6.8,8.7,23.7,41.5,32.5,209,671,III,71.0,1.850,0.000,0.164,0.110,0.000
AUDI,"Audi A3 (3 door, S, SE, Sport and Sport Quattro)",1.8 20v SE & Sport Models (125 bhp),A4,1781,Petrol,12.0,6.9,8.8,23.5,40.9,32.1,211,680,III,71.0,1.850,0.000,0.164,0.110,0.000
AUDI,"Audi A3 (3 door, S, SE, Sport and Sport Quattro)",1.8 20v S (125 bhp),M5,1781,Petrol,10.6,6.2,7.8,26.6,45.6,36.2,187,603,III,72.0,0.874,0.000,0.078,0.036,0.000
AUDI,"Audi A3 (3 door, S, SE, Sport and Sport Quattro)",1.8 20v SE & Sport Models (125 bhp),M5,1781,Petrol,10.7,6.3,7.9,26.4,44.8,35.8,190,610,III,72.0,0.874,0.000,0.078,0.036,0.000
AUDI,"Audi A3 (3 door, S, SE, Sport and Sport Quattro)",1.8 20v Quattro (180 bhp),QM6,1781,Petrol,13.0,7.5,9.4,21.7,37.7,30.1,226,725,III,74.0,0.996,0.000,0.064,0.035,0.000
AUDI,"Audi A4 Saloon (Standard, SE, Sport & Quattro)",1.9 TDI (90 bhp),FM5,1896,Diesel,6.9,4.3,5.3,40.9,65.7,53.3,143,420,III,72.0,0.135,0.432,0.000,0.387,0.031
AUDI,"Audi A4 Saloon (Standard, SE, Sport & Quattro)",1.9 TDI  PD SE (115 bhp),FM5,1896,Diesel,7.2,4.3,5.3,39.2,65.7,53.3,143,420,III,72.0,0.183,0.454,0.000,0.428,0.031
AUDI,"Audi A4 Saloon (Standard, SE, Sport & Quattro)",1.9 TDI PD SE Tiptronic (115 bhp),FA5,1896,Diesel,9.6,5.3,6.8,29.4,53.3,41.5,184,539,III,73.0,0.221,0.507,0.000,0.466,0.044
AUDI,"Audi A4 Saloon (Standard, SE, Sport & Quattro)",1.8 SE (125 bhp),M5,1781,Petrol,12.1,6.5,8.5,23.3,43.5,33.2,204,657,III,73.0,0.912,0.000,0.158,0.108,0.000
