Manufacturers,Model,Description,Transmission,Engine Capacity,Fuel Type,Metric Urban (cold),Metric Extra-urban,Metric Combined,Imperial (cold),Imperial Extra-urban,Imperial Combined,CO2 g/km,Fuel Cost 6000 Miles,Euro Standard,Noise Level dB(A),Emissions CO,Emissions HC+NOx,Emissions HC,Emissions NOx,Emissions Particulates
PROTON,Satria,1600 3 Door Hatchback,M5,1597,Petrol,15.3,6.7,9.9,18.4,42.2,28.5,236,718,III,73.4,0.880,,0.110,0.050
PROTON,Satria,1800 DOHC,M5,1834,Petrol,14.0,6.9,9.5,20.2,41.1,29.8,227,686,III,72.6,0.710,,0.170,0.440
PROTON,Wira,1300 4 Door Saloon,M5,1299,Petrol,11.7,6.4,8.4,24.1,44.3,33.7,200,607,III,69.0,0.450,,0.180,0.050
PROTON,Wira,1300 5 Door Hatchback,M5,1299,Petrol,11.7,6.4,8.4,24.1,44.3,33.7,200,607,III,69.0,0.450,,0.180,0.050
PROTON,Wira,1500 4 Door Saloon,M5,1468,Petrol,12.4,6.7,8.8,22.8,42.2,32.1,211,637,III,72.4,0.410,,0.150,0.040
PROTON,Wira,1500 4 Door Saloon,A3,1468,Petrol,11.7,6.6,8.5,24.1,42.8,33.4,202,612,III,71.4,0.580,,0.180,0.090
PROTON,Wira,1500 5 Door Hatchback,M5,1468,Petrol,12.4,6.7,8.8,22.8,42.2,32.1,211,637,III,72.4,0.410,,0.150,0.040
PROTON,Wira,1500 5 Door Hatchback,A3,1468,Petrol,11.7,6.6,8.5,24.1,42.8,33.4,202,612,III,71.4,0.580,,0.180,0.090
PROTON,Wira,1600 4 Door Saloon,M3,1597,Petrol,15.3,6.7,9.9,18.4,42.2,28.5,236,718,III,73.4,0.880,,0.110,0.050
PROTON,Wira,1600 4 Door Saloon,A3,1597,Petrol,14.4,7.0,9.7,19.6,40.6,29.1,232,703,III,71.8,0.710,,0.180,0.110
PROTON,Wira,1600 5 Door Hatchback,M5,1597,Petrol,15.3,6.7,9.9,18.4,42.2,28.5,236,718,III,73.3,0.880,,0.110,0.050
PROTON,Wira,1600 5 Door Hatchback,A4,1597,Petrol,14.4,7.0,9.7,19.6,40.6,29.1,232,703,III,71.8,0.710,,0.180,0.110
PROTON,Wira,1800 4 Door DOHC,M5,1834,Petrol,14.0,6.9,9.5,20.2,41.1,29.8,227,686,III,73.7,0.710,,0.170,0.440
PROTON,Wira,1800 5 Door DOHC,M5,1834,Petrol,14.0,6.9,9.5,20.2,41.1,29.9,227,684,III,73.3,0.710,,0.170,0.440
PROTON,Putra,1300 2 door Saloon,M5,1299,Petrol,11.7,6.4,8.4,24.1,44.3,33.7,200,607,III,73.7,0.450,,0.180,0.050
PROTON,Putra,1800 DOHC,M5,1834,Petrol,14.0,6.9,9.5,20.2,41.1,29.8,227,686,III,72.6,0.710,,0.170,0.440
RENAULT,Clio (all versions and trim levels),1.9 dTi From VIN C/BB0V0F,M5,1870,Diesel,6.7,4.3,5.2,42.2,65.7,54.3,139,392,III,74.8,0.098,0.376,,0.366,0.030
RENAULT,Clio (all versions and trim levels),3.0 V6 24V From VIN C61A06,M6,2946,Petrol,14.9,8.9,11.2,19.0,31.7,25.2,267,812,III,75.0,1.260,,0.171,0.099,
RENAULT,New Clio (all versions and trim levels),1.2  From VIN C/BB0FCF,M5,1149,Petrol,7.9,4.9,6.0,35.8,57.6,47.1,143,434,III,71.0,0.844,,0.070,0.017,
RENAULT,New Clio (all versions and trim levels),1.2 16V From VIN C/BB05CF,M5,1149,Petrol,7.8,4.9,5.9,36.2,57.6,47.9,139,427,III,73.0,0.268,,0.091,0.072,
RENAULT,New Clio (all versions and trim levels),1.4 16V From VIN C/BB0P0G,M5,1390,Petrol,9.2,5.3,6.7,30.7,53.3,42.2,160,485,III,73.0,0.378,,0.071,0.034,
RENAULT,New Clio (all versions and trim levels),1.6 16V From VIN C/BB1D0F,M5,1598,Petrol,9.5,5.9,7.2,29.7,47.9,39.2,170,522,III,74.0,0.778,,0.089,0.023,
RENAULT,New Clio (all versions and trim levels),2.0  16V From VIN C/CB1T0F,M5,1998,Petrol,11.2,6.3,8.1,25.2,44.8,34.9,194,586,III,74.0,0.788,,0.076,0.034,
RENAULT,New Clio (all versions and trim levels),1.5 dCi 65bhp From VIN C/BB07CF,M5,1481,Diesel,5.7,3.8,4.5,49.6,74.3,62.8,120,339,III,74.0,0.334,0.433,,0.417,0.025
RENAULT,Kangoo (all versions and trim levels),1.2 From VIN KC0WAF,M5,1149,Petrol,9.0,5.9,7.0,31.4,47.9,40.6,165,504,III,73.0,0.678,,0.083,0.037,
RENAULT,Kangoo (all versions and trim levels),1.4 From VIN KC0BAF,M5,1390,Petrol,9.5,6.3,7.5,29.7,44.8,37.7,177,543,III,74.0,1.212,,0.098,0.032,
RENAULT,Kangoo (all versions and trim levels),1.4 From VIN KC0BAA,A4,1390,Petrol,10.3,6.5,7.9,27.4,43.5,35.8,188,571,III,74.0,0.467,,0.067,0.071,
RENAULT,Kangoo (all versions and trim levels),1.6 From VIN KC0PAF,M5,1598,Petrol,9.8,6.1,7.5,28.8,46.3,37.7,177,543,III,74.0,0.791,,0.106,0.028,
RENAULT,Kangoo (all versions and trim levels),1.9D From VIN KC0NAF,M5,1870,Diesel,8.1,5.3,6.3,34.9,53.3,44.8,168,475,III,73.0,0.292,0.367,,0.347,0.031
RENAULT,Kangoo (all versions and trim levels),1.5dCi From VIN KC07AF,M5,1461,Diesel,6.5,4.9,5.5,43.5,57.6,51.4,146,414,III,72.0,0.155,0.402,,0.386,0.043
RENAULT,Kangoo (all versions and trim levels),1.9 dTi From VIN KC0VAF (Turbo Diesel),M5,1870,Diesel,7.2,5.0,5.8,39.2,56.5,48.7,154,437,III,73.9,0.311,0.342,,0.308,0.040
RENAULT,Mégane Hatchback (all versions and trim levels),1.4 16V From VIN BA0D05,M5,1390,Petrol,9.5,5.5,6.9,29.7,51.4,40.9,165,500,III,71.4,0.797,,0.103,0.023,
RENAULT,Mégane Hatchback (all versions and trim levels),1.6 16V From VIN BA0B05,M5,1598,Petrol,9.4,5.7,7.0,30.1,49.6,40.4,165,506,III,73.2,0.910,,0.115,0.029,
