Manufacturers,Model,Description,Transmission,Engine Capacity,Fuel Type,Metric Urban (cold),Metric Extra-urban,Metric Combined,Imperial (cold),Imperial Extra-urban,Imperial Combined,CO2 g/km,Fuel Cost 6000 Miles,Euro Standard,Noise Level dB(A),Emissions CO,Emissions HC+NOx,Emissions HC,Emissions NOx,Emissions Particulates
SEAT,Leon,1.6 S (105 bhp),M5,1598,Petrol,9.6,5.7,7.1,29.4,49.6,39.8,170,548,IV,71,0.353,0,0.061,0.032,0
SEAT,Leon,Sport & Cupra 1.8 20VT (180 bhp),M6,1781,Petrol,11.8,6.6,8.5,23.9,42.8,33.2,204,657,IV,72,0.679,0,0.06,0.043,0
SEAT,Toledo,V5 (170 bhp),M5,2324,Petrol,8.2,5.2,6.3,34.4,54.3,44.8,170,487,IV,73,0.46,0,0.058,0.048,0
SEAT,Alhambra,2.0 S (115 bhp),M6,1984,Petrol,13,7.6,9.6,21.7,37.2,29.4,230,742,IV,74,0.814,0,0.067,0.07,0
SEAT,Alhambra,1.8 20V T  S & SE Models (150 bhp),M6,1781,Petrol,13.1,7.4,9.5,21.6,38.2,29.7,228,735,IV,74,0.545,0,0.061,0.017,0
SEAT,Alhambra,1.8 20V T  SE Tiptronic (150 bhp),A5,1781,Petrol,14.5,8.4,10.6,19.5,33.6,26.6,254,820,IV,70,0.348,0,0.091,0.05,0
SEAT,Alhambra,2.8 V6 Sport (204 bhp),M6,2792,Petrol,14.8,8.5,10.8,19.1,33.2,26.2,259,833,IV,73,0.028,0,0.071,0.059,0
SKODA,Fabia Hatch,1.4 16V Classic & Comfort Models (75 bhp),M5,1390,Petrol,9.3,5.3,6.7,30.4,53.3,42.2,161,517,IV,72,0.637,0,0.092,0.059,0
SKODA,Fabia Hatch,1.4 16V Classic & Elegance Models (100 bhp),M5,1390,Petrol,9.7,5.6,7.1,29.1,50.4,39.8,170,548,IV,73,0.615,0,0.089,0.02,0
SKODA,Fabia Hatch,2.0 MPI Elegance (115 bhp),M5,1984,Petrol,11.1,5.9,7.8,25.4,47.9,36.2,187,603,IV,74,0.634,0,0.055,0.046,0
SKODA,Fabia Estate,1.4 MPI Classic & Comfort Models (68 bhp),M5,1397,Petrol,9.8,5.6,7.2,28.8,50.4,39.2,173,557,IV,72,0.772,0,0.084,0.049,0
SKODA,Fabia Estate,1.4 16V Classic & Comfort Models (75 bhp),M5,1390,Petrol,9.3,5.3,6.7,30.4,53.3,42.2,161,517,IV,72,0.637,0,0.092,0.059,0
SKODA,Fabia Estate,1.4 16V Comfort & Elegance Models (100bhp),M5,1390,Petrol,9.7,5.6,7.1,29.1,50.4,39.8,170,548,IV,73,0.615,0,0.089,0.02,0
SKODA,Fabia Estate,2.0 MPI Elegance (115 bhp),M5,1984,Petrol,11.2,6,7.9,25.2,47.1,35.8,187,610,IV,74,0.634,0,0.055,0.046,0
SKODA,Octavia Hatch, 1.4 16V Classic (75 bhp),M5,1390,Petrol,9.1,5.5,6.8,31,51.4,41.5,163,526,IV,71,0.121,0,0.074,0.04,0
SKODA,Octavia Hatch, 1.6 MPI Ambiente & Classic Models (102 bhp),M5,1595,Petrol,10,5.8,7.3,28.2,48.7,38.7,175,564,IV,72,0.718,0,0.053,0.033,0
SKODA,Octavia Hatch, 2.0 Elegance & Ambiente Models (115 bhp),M5,1984,Petrol,11.3,6.2,8.1,25,45.6,34.9,194,625,IV,73,0.795,0,0.068,0.029,0
