Manufacturer,Model,Description,Transmission,Engine Capacity,Fuel Type,Metric Urban (Cold),Metric Extra-Urban,Metric Combined,Imperial Urban (Cold),Imperial Extra-Urban,Imperial Combined,CO2 g/km,Fuel Cost 12000 Miles,Noise Level dB(A),Emissions CO,Emissions HC,Emissions NOx,Emissions HC+NOx,Emissions Particulates,
MERCEDES-BENZ,A-Class Model Year 2010,"A 180 CDI with 16"" rear wheels",CVT,1991,Diesel,7.2,4.7,5.6,39.2,60.1,50.4,147,1223,71.0,0.068,,0.167,0.179,0.003,
MERCEDES-BENZ,A-Class Model Year 2010,"A 180 CDI with 16"" rear wheels",M6,1991,Diesel,6.4,4.3,5.1,44.1,65.7,55.4,136,1113,72.0,0.249,,0.204,0.234,0.003,
MERCEDES-BENZ,A-Class Model Year 2010,"A 180 CDI with 16"" rear wheels No DPF",CVT,1991,Diesel,7.2,4.7,5.6,39.2,60.1,50.4,147,1223,71.0,0.040,,0.216,0.228,0.020,
MERCEDES-BENZ,A-Class Model Year 2010,"A 180 CDI with 16"" rear wheels No DPF",M6,1991,Diesel,6.4,4.3,5.1,44.1,65.7,55.4,136,1113,72.0,0.234,,0.190,0.234,0.019,
MERCEDES-BENZ,A-Class Model Year 2010,"A 180 CDI with 17"" & 18"" rear wheels",CVT,1991,Diesel,7.6,4.9,5.8,37.2,57.6,48.7,154,1266,71.0,0.068,,0.167,0.179,0.003,
MERCEDES-BENZ,A-Class Model Year 2010,"A 180 CDI with 17"" & 18"" rear wheels",M6,1991,Diesel,6.5,4.4,5.2,43.5,64.2,54.3,138,1135,72.0,0.249,,0.204,0.234,0.003,
MERCEDES-BENZ,A-Class Model Year 2010,"A 180 CDI with 17"" & 18"" rear wheels No DPF",CVT,1991,Diesel,7.6,4.9,5.8,37.2,57.6,48.7,154,1266,71.0,0.040,,0.216,0.228,0.020,
MERCEDES-BENZ,A-Class Model Year 2010,"A 180 CDI with 17"" & 18"" rear wheels No DPF",M6,1991,Diesel,6.5,4.4,5.2,43.5,64.2,54.3,138,1135,72.0,0.234,,0.190,0.234,0.019,
MERCEDES-BENZ,B-Class (245) Saloon Model Year 2009,B 180 CDI no DPF 205 Tyres at rear,M6,1992,Diesel,6.4,4.4,5.2,44.1,64.2,54.3,137,1135,72.0,0.234,,0.190,0.234,0.019,
MERCEDES-BENZ,B-Class (245) Saloon Model Year 2009,B 180 CDI no DPF 215 Tyres at rear,M6,1992,Diesel,6.6,4.6,5.4,42.8,61.4,52.3,140,1179,72.0,0.234,,0.190,0.234,0.019,
MERCEDES-BENZ,B-Class (245) Saloon Model Year 2009,B 180 CDI no DPF 205 Tyres at rear,CVT,1992,Diesel,6.9,4.9,5.6,40.9,57.6,50.4,148,1223,71.0,0.040,,0.216,0.228,0.020,
MERCEDES-BENZ,B-Class (245) Saloon Model Year 2009,B 180 CDI no DPF 215 Tyres at rear,CVT,1992,Diesel,7.3,5.3,6.0,38.7,53.3,47.1,158,1309,71.0,0.040,,0.216,0.228,0.020,
MERCEDES-BENZ,B-Class (245) Saloon Model Year 2009,B 180 CDI with DPF 205 Tyres at rear,M6,1992,Diesel,6.4,4.4,5.2,44.1,64.2,54.3,137,1135,72.0,0.249,,0.204,0.234,0.003,
MERCEDES-BENZ,B-Class (245) Saloon Model Year 2009,B 180 CDI with DPF 215 Tyres at rear,M6,1992,Diesel,6.6,4.6,5.4,42.8,61.4,52.3,140,1179,72.0,0.249,,0.204,0.234,0.003,
MERCEDES-BENZ,B-Class (245) Saloon Model Year 2009,B 180 CDI with DPF 205 Tyres at rear,CVT,1992,Diesel,6.9,4.9,5.6,40.9,57.6,50.4,148,1223,71.0,0.068,,0.167,0.179,0.003,
MERCEDES-BENZ,B-Class (245) Saloon Model Year 2009,B 180 CDI with DPF 215 Tyres on 17/18'' Wheels at rear,CVT,1992,Diesel,7.3,5.3,6.0,38.7,53.3,47.1,158,1309,71.0,0.068,,0.167,0.179,0.003,
