Manufacturer,Model,Description,Transmission,Engine Capacity,Fuel Type,Metric Urban (Cold),Metric Extra-Urban,Metric Combined,Imperial Urban (Cold),Imperial Extra-Urban,Imperial Combined,CO2 g/km,Fuel Cost 6000 Miles,Euro Standard,Noise Level dB(A),Emissions CO,Emissions HC+NOx,Emissions HC,Emissions NOx,Emissions Particulates,Date of change,
AUDI,"Audi A4 Avant  (Standard, SE & Sport)",2.5 TDI V6 Quattro (180 PS),QM6,2496,Diesel,11.3,6.1,8.0,25.0,46.3,35.3,216,580,III,72.0,0.1,0.4,0.0,0.3,0.0,20 March 2003,
AUDI,"A6 Saloon  (Standard, SE & Sport)",1.9 TDI PD (130 PS),M5,1896,Diesel,7.8,4.7,5.8,36.2,60.1,48.7,157,420,III,72.0,0.1,0.4,,0.4,0.0,20 March 2003,
AUDI,"A6 Saloon  (Standard, SE & Sport)",1.9 TDI PD (130 PS),M6,1896,Diesel,8.0,5.0,6.1,35.3,56.5,46.3,164,442,III,74.0,0.2,0.4,,0.4,0.0,20 March 2003,
AUDI,"A6 Saloon  (Standard, SE & Sport)",2.5 V6 TDI (155 PS),M6,2496,Diesel,9.9,5.5,7.1,28.5,51.4,39.8,192,514,III,73.0,0.1,0.3,,0.3,0.0,20 March 2003,
AUDI,"A6 Saloon  (Standard, SE & Sport)",2.5 V6 TDI Multitronic (155 PS),AV,2496,Diesel,9.4,5.8,7.1,30.1,48.7,39.8,192,514,III,72.0,0.0,0.3,,0.3,0.0,20 March 2003,
AUDI,"A6 Saloon  (Standard, SE & Sport)",2.5 V6 (163 PS),M6,2496,Diesel,9.9,5.5,7.1,28.5,51.4,39.8,192,514,III,73.0,0.1,0.3,,0.3,0.0,20 March 2003,
AUDI,"A6 Saloon  (Standard, SE & Sport)",2.5 V6 Multitronic (163 PS) ,AV,2496,Diesel,9.4,5.8,7.1,30.1,48.7,39.8,192,514,III,72.0,0.0,0.3,,0.3,0.0,30 May 2003,
AUDI,"A6 Saloon  (Standard, SE & Sport)",1.9 TDI PD (130 PS),AV,1896,Diesel,7.7,5.0,5.9,36.7,56.5,47.9,159,427,III,72.0,0.2,0.5,,0.5,0.0,20 March 2003,
AUDI,A6 Saloon  (SE &amp; Sport),4.2 V8 Tiptronic (340 PS) ,QA5,4172,Petrol,21.9,10.2,14.4,12.9,27.7,19.6,346,1002,III,74.0,1.0,,0.1,0.1,,20 March 2003,
AUDI,A6 Saloon  (SE &amp; Sport),2.5 V6 TDI Quattro (180 PS),QM6,2496,Diesel,11.3,6.4,8.1,25.0,44.1,34.9,219,586,III,73.0,0.0,0.3,,0.3,0.0,20 March 2003,
AUDI,A6 Saloon  (SE &amp; Sport),2.5 V6 TDI Quattro Tiptronic (180 PS),QA5,2496,Diesel,13.0,6.7,9.0,21.7,42.2,31.4,243,651,III,72.0,0.1,0.4,,0.3,0.0,20 March 2003,
AUDI,A6 Saloon  (SE &amp; Sport),2.7 V6 Turbo Quattro (250 PS) up to December 2002,QM6,2671,Petrol,16.8,9.0,11.8,16.8,31.4,23.9,283,822,III,73.0,0.7,,0.1,0.1,,23 May 2003,
AUDI,A6 Saloon  (SE &amp; Sport),2.7 V6 Turbo Quattro Tiptronic (250 PS) up to December 2002,QA5,2671,Petrol,18.2,8.9,12.3,15.5,31.7,23.0,295,854,III,73.0,0.9,,0.1,0.1,,23 May 2003,
AUDI,"A6 Avant  (Standard, SE & Sport)",1.9 TDI PD (130 PS),M5,1896,Diesel,7.8,4.7,5.8,36.2,60.1,48.7,157,420,III,72.0,0.1,0.4,,0.4,0.0,20 March 2003,
AUDI,"A6 Avant  (Standard, SE & Sport)",1.9 TDI PD (130 PS),M6,1896,Diesel,8.0,5.2,6.2,35.3,54.3,45.6,167,449,III,74.0,0.2,0.4,,0.4,0.0,20 March 2003,
AUDI,"A6 Avant  (Standard, SE & Sport)",2.5 V6 TDI (155 PS),M6,2496,Diesel,9.9,5.5,7.1,28.5,51.4,39.8,192,514,III,73.0,0.1,0.3,,0.3,0.0,20 March 2003,
AUDI,"A6 Avant  (Standard, SE & Sport)",2.5 V6 TDI Multitronic (155 PS),AV,2496,Diesel,9.4,5.8,7.1,30.1,48.7,39.8,192,514,III,72.0,0.0,0.3,,0.3,0.0,20 March 2003,
AUDI,"A6 Avant  (Standard, SE & Sport)",1.9 TDI PD (130 PS),AV,1896,Diesel,7.8,5.1,6.0,36.2,55.4,47.1,162,434,III,72.0,0.2,0.5,,0.5,0.0,20 March 2003,
AUDI,A6 Avant  (SE &amp; Sport),2.5 V6 (163 PS),M6,2496,Diesel,9.9,5.5,7.1,28.5,51.4,39.8,192,514,III,73.0,0.1,0.3,,0.3,0.0,20 March 2003,
AUDI,A6 Avant  (SE &amp; Sport),2.5 V6 Multitronic (163 PS) ,AV,2496,Diesel,9.4,5.8,7.1,30.1,48.7,39.8,192,514,III,72.0,0.0,0.3,,0.3,0.0,20 March 2003,
AUDI,A6 Avant  (SE &amp; Sport),4.2 Tiptronic (340 PS) ,QA5,4172,Petrol,22.0,10.3,14.5,12.8,27.4,19.5,348,1007,III,74.0,1.0,,0.1,0.1,,20 March 2003,
AUDI,A6 Avant  (SE &amp; Sport),2.5 V6 TDI Quattro (180 PS),QM6,2496,Diesel,11.3,6.4,8.1,25.0,44.1,34.9,219,586,III,73.0,0.0,0.3,,0.3,0.0,20 March 2003,
AUDI,A6 Avant  (SE &amp; Sport),2.5 V6 TDI Quattro Tiptronic (180 PS),QA5,2496,Diesel,13.0,6.7,9.0,21.7,42.2,31.4,243,651,III,72.0,0.1,0.4,,0.3,0.0,20 March 2003,
