Manufacturers,Model,Description,Transmission,Engine Capacity,Fuel Type,Metric Urban (cold),Metric Extra-urban,Metric Combined,Imperial (cold),Imperial Extra-urban,Imperial Combined,CO2 g/km,Fuel Cost 6000 Miles,Euro Standard,Noise Level dB(A),Emissions CO,Emissions HC+NOx,Emissions HC,Emissions NOx,Emissions Particulates
CITROEN,Synergie,Synergie Turbo D,M5,1905,Diesel,10.6,6.7,8.1,26.6,42.2,34.9,215,610,II,73.3,0.567,0.600,,,0.057
CITROEN,Synergie,Synergie 2.0 HDi 110 hp,M5,1997,Diesel,8.4,5.6,6.7,33.6,50.4,42.2,182,504,II,72.2,0.174,0.772,,,0.059
DAEWOO CARS,Matiz,SE (SOHC),M5,796,Petrol,8.4,5.2,6.4,33.6,54.3,44.1,161,464,II,73.7,0.780,0.320,,,
DAEWOO CARS,Matiz,SE+ (SOHC),M5,796,Petrol,8.4,5.2,6.4,33.6,54.3,44.1,161,464,II,73.7,0.780,0.320,,,
DAEWOO CARS,Lanos,1.4 S (SOHC),M5,1349,Petrol,11.4,5.9,7.9,24.8,47.9,35.8,214,571,II,72.3,0.380,0.320,,,
DAEWOO CARS,Lanos,1.4 SE (SOHC),M5,1349,Petrol,11.4,5.9,7.9,24.8,47.9,35.8,214,571,II,72.3,0.380,0.320,,,
DAEWOO CARS,Lanos,1.6 SX (DOHC),M5,1598,Petrol,12.0,6.2,8.2,23.5,45.6,34.4,206,595,II,72.9,0.400,0.290,,,
DAEWOO CARS,Lanos,1.6 SX (DOHC),A4,1598,Petrol,12.5,6.4,8.9,22.6,44.1,31.7,249,645,II,70.0,0.170,0.410,,,
DAEWOO CARS,Nubira,1.6 SE (DOHC),M5,1598,Petrol,10.7,6.1,7.8,26.4,46.3,36.2,206,565,II,72.7,0.720,0.310,,,
DAEWOO CARS,Nubira,2.0 CDX (DOHC),M5,1998,Petrol,12.2,6.4,8.6,23.2,44.1,32.8,235,624,II,73.3,0.980,0.220,,,
DAEWOO CARS,Nubira,2.0 CDX (DOHC),A4,1998,Petrol,13.6,6.8,9.3,20.8,41.5,30.4,250,673,II,71.8,1.180,0.250,,,
DAEWOO CARS,Nubira,1.6 SE Estate (DOHC),M5,1598,Petrol,10.5,6.2,7.8,26.9,45.6,36.2,206,565,II,72.7,0.700,0.280,,,
DAEWOO CARS,Nubira,2.0 CDX  Estate (DOHC),M5,1998,Petrol,12.3,6.7,8.7,23.0,42.2,32.5,235,629,II,73.3,1.130,0.250,,,
DAEWOO CARS,Nubira,2.0 CDX Estate (DOHC),A4,1998,Petrol,14.6,7.0,9.8,19.3,40.4,28.8,258,710,II,71.8,1.200,0.230,,,
