Manufacturer,Model,Description,Transmission,Engine Capacity,Fuel Type,Metric Urban (Cold),Metric Extra-Urban,Metric Combined,Imperial Urban (Cold),Imperial Extra-Urban,Imperial Combined,CO2 g/km,Fuel Cost 6000 Miles,Euro Standard,Noise Level dB(A),Emissions CO,Emissions HC+NOx,Emissions HC,Emissions NOx,Emissions Particulates,Date of change,
DAIHATSU,Charade,L251 1.0 EFi,A4,989,Petrol,7.3,5.1,5.9,38.7,55.4,47.9,140,410,IV,67.2,0.3,0.1,0.0,0.0,,08 April 2003,
FIAT,Stilo Range,1.8 16v Dynamic 3 door,M5,1747,Petrol,11.3,6.1,8.0,25.0,46.3,35.3,190,556,IV,72.0,0.3,,0.0,0.0,,11 January 2002,
FIAT,Stilo Range,1.8 16v Dynamic 5 door,M5,1747,Petrol,11.5,6.2,8.1,24.6,45.6,34.9,194,563,IV,72.0,0.3,,0.0,0.0,,11 January 2002,
FIAT,Stilo Multi Wagon Range,1.8,M5,1747,Petrol,11.7,6.3,8.3,24.1,44.8,34.0,197,578,IV,72.0,0.3,,0.0,0.0,,28 January 2003,
FORD,Fiesta,1.25i 16V (14 inch tyre),M5,1242,Petrol,8.8,5.7,6.9,32.1,49.6,40.9,161,480,IV,69.0,0.3,,0.1,0.1,,01 July 2001,
FORD,Fiesta,1.6i 16V,M5,1596,Petrol,9.5,6.0,7.3,29.7,47.1,38.7,171,507,IV,71.0,0.5,,0.1,0.0,,01 July 2001,
FORD,New Fiesta,1.6i 16V 3 & 5 door (14 inch tyre),M5,1596,Petrol,9.1,5.2,6.6,31.0,54.3,42.8,157,459,IV,71.0,0.5,,0.1,0.0,,08 April 2003,
FORD,New Fiesta,1.6i 16V (15/16 inch tyre),M5,1596,Petrol,9.4,5.4,6.9,30.1,52.3,40.9,164,480,IV,71.0,0.5,,0.1,0.0,,22 November 2001,
FORD,New Fiesta,1.4i  3 &amp; 5 door - (14 inch tyres),ASM  ,1388,Petrol,8.6,5.1,6.4,32.8,55.4,44.1,153,445,IV,71.0,0.4,,0.1,0.0,,08 April 2003,
FORD,New Fiesta,1.4i - 3 &amp; 5 door (15/16 inch tyres),ASM  ,1388,Petrol,8.8,5.4,6.7,32.1,52.3,42.2,158,465,IV,71.0,0.4,,0.1,0.0,,08 April 2003,
FORD,New Fiesta,1.6i 16V - 3 &amp; 5 door (15/16 inch tyre),M5,1596,Petrol,9.4,5.4,6.9,30.1,52.3,40.9,164,480,IV,71.0,0.5,,0.1,0.0,,08 April 2003,
FORD,New Fiesta,1.4i 16V 3 Door (14 inch tyre),ASM  ,1388,Petrol,8.4,5.2,6.3,33.6,54.3,44.8,150,438,IV,71.0,0.4,,0.1,0.0,,19 March 2003,
