,,,,,,Fuel Consumption and CO2 Emissions,,,,,,,,"Other Type Approval Emissions Data                                        (read ""How to use the list""                                                      before comparing models).",,,,,,
,,,,,,,Metric l/100km,,,Imperial mpg,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Manufacturer/Model,Model,Description,Trans-mission,Engine Capacity cc,Fuel Type,Metric Urban (Cold),Metric Extra-Urban,Metric Comb-ined,Imperial Urban (Cold),Imperial Extra-Urban,Imperial Comb-ined,CO2 g/km,Fuel Cost   of driving 12000 Miles (£'s),Noise Level dB(A) (moving),Emissions CO    (g/km),Emissions HC    (g/km),Emissions  NOx        (g/km),Emissions    HC+NOx          (g/km),Emissions        Particles              (g/km),
BMW,3 Series E46,330 Ci Convertible - SMG - up to February 2005 ,M6,2979,Petrol,13.4,7.3,9.6,21.1,38.7,29.4,229,1484,74.0,0.269,0.048,0.009,,
BMW,3 Series E46,330 Ci Convertible - up to February 2005 ,A5,2979,Petrol,14.9,7.5,10.2,19.0,37.7,27.7,244,1576,74.0,0.447,0.062,0.013,,
BMW,3 Series E46,M3 Convertible - up to February 2005 ,M6,3246,Petrol,17.9,8.8,12.1,15.8,32.1,23.3,292,1873,75.0,0.779,0.125,0.031,,
BMW,3 Series E46,M3 Convertible - SMG - up to February 2005 ,M6,3246,Petrol,17.9,8.8,12.1,15.8,32.1,23.3,292,1873,75.0,0.779,0.125,0.031,,
BMW,3 Series E46,316i Saloon ,M5,1796,Petrol,9.9,5.5,7.1,28.5,51.4,39.8,172,1097,72.0,0.973,0.146,0.064,,
BMW,3 Series E46,316i Saloon ,A5,1796,Petrol,10.9,6.4,8.0,25.9,44.1,35.3,194,1236,72.0,1.167,0.127,0.050,,
BMW,3 Series E46,318i Saloon ,M5,1995,Petrol,10.4,5.7,7.4,27.2,49.6,38.2,180,1142,73.0,1.195,0.112,0.052,,
BMW,3 Series E46,318i Saloon ,A5,1995,Petrol,11.2,6.3,8.1,25.2,44.8,34.9,196,1250,74.0,1.000,0.134,0.042,,
BMW,3 Series E46,318d Saloon ,A5,1995,Diesel,9.1,5.5,6.8,31.0,51.4,41.5,182,1104,72.0,0.083,,0.313,0.328,0.032
BMW,3 Series E46,320i Saloon ,M5,2171,Petrol,12.2,6.9,8.9,23.2,40.9,31.7,213,1377,74.0,0.765,0.097,0.015,,
BMW,3 Series E46,320i Saloon ,A5,2171,Petrol,13.1,7.3,9.4,21.6,38.7,30.1,226,1450,73.0,0.498,0.105,0.014,,
BMW,3 Series E46,320d Saloon ,A5,1995,Diesel,9.7,5.4,6.9,29.1,52.3,40.9,185,1120,72.0,0.185,,0.375,0.406,0.030
BMW,3 Series E46,325i Saloon ,M5,2494,Petrol,12.8,6.9,9.0,22.1,40.9,31.4,217,1390,73.0,0.494,0.079,0.017,,
BMW,3 Series E46,325i Saloon - SMG ,M6,2494,Petrol,12.8,6.9,9.0,22.1,40.9,31.4,217,1390,73.0,0.494,0.079,0.017,,
BMW,3 Series E46,325i Saloon ,A5,2494,Petrol,13.5,7.2,9.5,20.9,39.2,29.7,229,1469,72.0,0.255,0.086,0.013,,
BMW,3 Series E46,330i Saloon ,M6,2979,Petrol,12.8,6.9,9.1,22.1,40.9,31.0,218,1408,74.0,0.269,0.048,0.009,,
BMW,3 Series E46,330i Saloon - SMG ,M6,2979,Petrol,12.8,6.9,9.1,22.1,40.9,31.0,218,1408,74.0,0.269,0.048,0.009,,
BMW,3 Series E46,330i Saloon ,A5,2979,Petrol,14.0,7.0,9.6,20.2,40.4,29.4,230,1484,74.0,0.447,0.062,0.013,,
BMW,3 Series E46,330d Saloon ,A5,2993,Diesel,10.6,6.1,7.7,26.6,46.3,36.7,206,1249,73.0,0.088,,0.392,0.419,0.035
BMW,3 Series E46,316i Touring ,M5,1796,Petrol,10.3,5.6,7.3,27.4,50.4,38.7,177,1128,72.0,0.973,0.146,0.064,,
BMW,3 Series E46,316i Touring ,A5,1796,Petrol,10.9,6.5,8.1,25.9,43.5,34.9,196,1250,72.0,1.167,0.127,0.050,,
BMW,3 Series E46,318i Touring ,M5,1995,Petrol,10.6,5.9,7.6,26.6,47.9,37.2,185,1173,73.0,1.195,0.112,0.052,,
BMW,3 Series E46,318i Touring ,A5,1995,Petrol,11.4,6.4,8.2,24.8,44.1,34.4,199,1269,74.0,1.000,0.134,0.042,,
BMW,3 Series E46,318d Touring ,A5,1995,Diesel,9.3,5.7,7.0,30.4,49.6,40.4,188,1134,72.0,0.083,,0.313,0.328,0.032
BMW,3 Series E46,320i Touring ,M5,2171,Petrol,12.5,6.9,9.0,22.6,40.9,31.4,216,1390,74.0,0.765,0.097,0.015,,
BMW,3 Series E46,320i Touring ,A5,2171,Petrol,13.3,7.4,9.6,21.2,38.2,29.4,230,1484,73.0,0.498,0.105,0.014,,
BMW,3 Series E46,320d Touring  ,A5,1995,Diesel,9.9,5.5,7.1,28.5,51.4,39.8,190,1151,72.0,0.185,,0.375,0.406,0.030
BMW,3 Series E46,325i Touring ,M5,2494,Petrol,12.9,7.1,9.2,21.9,39.8,30.7,221,1422,73.0,0.494,0.079,0.017,,
BMW,3 Series E46,325i Touring - SMG ,M6,2494,Petrol,12.9,7.1,9.2,21.9,39.8,30.7,221,1422,73.0,0.494,0.079,0.017,,
BMW,3 Series E46,325i Touring ,A5,2494,Petrol,13.6,7.4,9.7,20.8,38.2,29.1,232,1500,72.0,0.255,0.086,0.013,,
BMW,3 Series E46,330i Touring ,M6,2979,Petrol,12.9,7.1,9.3,21.9,39.8,30.4,222,1436,74.0,0.269,0.048,0.009,,
BMW,3 Series E46,330i Touring - SMG ,M6,2979,Petrol,12.9,7.1,9.3,21.9,39.8,30.4,222,1436,74.0,0.269,0.048,0.009,,
BMW,3 Series E46,330i Touring ,A5,2979,Petrol,14.2,7.2,9.8,19.9,39.2,28.8,235,1515,74.0,0.447,0.062,0.013,,
BMW,3 Series E46,330d Touring ,A5,2993,Diesel,10.8,6.3,7.9,26.2,44.8,35.8,211,1280,73.0,0.088,,0.392,0.419,0.035
BMW,5 Series E60/E61,520i Saloon - up to February 2005 ,M6,2171,Petrol,13.0,6.8,9.0,21.7,41.5,31.4,219,1390,71.0,0.535,0.081,0.025,,
BMW,5 Series E60/E61,520i Saloon - up to February 2005 ,A6,2171,Petrol,13.9,7.5,9.8,20.3,37.7,28.8,237,1515,69.0,0.290,0.074,0.058,,
BMW,5 Series E60/E61,525i Saloon - up to February 2005 ,M6,2494,Petrol,13.6,7.0,9.4,20.8,40.4,30.1,228,1450,71.0,0.495,0.074,0.036,,
BMW,5 Series E60/E61,525i Saloon - SMG - up to February 2005 ,M6,2494,Petrol,13.6,7.0,9.4,20.8,40.4,30.1,228,1450,71.0,0.495,0.074,0.036,,
BMW,5 Series E60/E61,525i Saloon - up to February 2005 ,A6,2494,Petrol,14.1,7.5,9.9,20.0,37.7,28.5,239,1531,71.0,0.389,0.086,0.023,,
BMW,5 Series E60/E61,530i Saloon - up to February 2005 ,M6,2979,Petrol,14.1,7.0,9.5,20.0,40.4,29.7,231,1469,71.0,0.420,0.045,0.022,,
BMW,5 Series E60/E61,530i Saloon - SMG - up to February 2005 ,M6,2979,Petrol,14.1,7.0,9.5,20.0,40.4,29.7,231,1469,71.0,0.420,0.045,0.022,,
BMW,5 Series E60/E61,530i Saloon - up to February 2005 ,A6,2979,Petrol,14.2,7.5,9.9,19.9,37.7,28.5,240,1531,71.0,0.271,0.049,0.014,,
BMW,5 Series E60/E61,545i Saloon ,M6,4398,Petrol,16.3,7.9,10.9,17.3,35.8,25.9,264,1685,73.0,0.543,0.043,0.037,,
BMW,5 Series E60/E61,545i Saloon - SMG ,M6,4398,Petrol,16.3,7.9,10.9,17.3,35.8,25.9,264,1685,73.0,0.543,0.043,0.037,,
BMW,5 Series E60/E61,545i Saloon ,A6,4398,Petrol,15.8,7.7,10.6,17.9,36.7,26.6,257,1641,73.0,0.149,0.037,0.024,,
BMW,5 Series E60/E61,525i Touring - up to February 2005 ,M6,2494,Petrol,14.1,7.5,9.9,20.0,37.7,28.5,238,1531,71.0,0.495,0.074,0.036,,
BMW,5 Series E60/E61,525i Touring - SMG - up to February 2005 ,M6,2494,Petrol,14.1,7.5,9.9,20.0,37.7,28.5,238,1531,71.0,0.495,0.074,0.036,,
BMW,5 Series E60/E61,525i Touring - up to February 2005 ,A6,2494,Petrol,14.7,7.9,10.3,19.2,35.8,27.4,248,1593,71.0,0.389,0.086,0.023,,
BMW,5 Series E60/E61,545i Touring ,M6,4398,Petrol,16.8,8.3,11.3,16.8,34.0,25.0,274,1746,73.0,0.543,0.043,0.037,,
BMW,5 Series E60/E61,545i Touring - SMG ,M6,4398,Petrol,16.8,8.3,11.3,16.8,34.0,25.0,274,1746,73.0,0.543,0.043,0.037,,
BMW,5 Series E60/E61,545i Touring ,A6,4398,Petrol,16.4,8.2,11.2,17.2,34.4,25.2,271,1732,73.0,0.149,0.037,0.024,,
BMW,6 Series E63/E64,645 Ci Coupé ,M6,4398,Petrol,17.2,8.6,11.7,16.4,32.8,24.1,283,1811,74.0,0.436,0.024,0.027,,
BMW,6 Series E63/E64,645 Ci Coupé - SMG ,M6,4398,Petrol,17.2,8.6,11.7,16.4,32.8,24.1,283,1811,74.0,0.436,0.024,0.027,,
BMW,6 Series E63/E64,645 Ci Coupé ,A6,4398,Petrol,16.1,8.0,10.9,17.5,35.3,25.9,264,1685,73.0,0.149,0.037,0.024,,
BMW,6 Series E63/E64,645 Ci Convertible ,M6,4398,Petrol,18.5,9.6,12.8,15.3,29.4,22.1,310,1975,74.0,0.690,0.021,0.032,,
BMW,6 Series E63/E64,645 Ci Convertible - SMG ,M6,4398,Petrol,18.5,9.6,12.8,15.3,29.4,22.1,310,1975,74.0,0.690,0.021,0.032,,
BMW,6 Series E63/E64,645 Ci Convertible ,A6,4398,Petrol,16.8,8.5,11.5,16.8,33.2,24.6,279,1774,73.0,0.149,0.037,0.024,,
BMW,7 Series E65/E66,730i Saloon - up to February 2005 ,A6,2979,Petrol,15.5,7.9,10.6,18.2,35.8,26.6,257,1641,73.0,0.210,0.055,0.031,,
BMW,7 Series E65/E66,730Li Saloon - up to February 2005 ,A6,2979,Petrol,15.7,8.0,10.7,18.0,35.3,26.4,260,1653,73.0,0.210,0.055,0.031,,
BMW,7 Series E65/E66,730d Saloon - up to February 2005 ,A6,2993,Diesel,12.1,6.5,8.5,23.3,43.5,33.2,227,1380,73.0,0.156,,0.430,0.467,0.033
BMW,7 Series E65/E66,735i Saloon - up to February 2005 ,A6,3600,Petrol,15.7,8.4,11.1,18.0,33.6,25.4,268,1718,71.0,0.292,0.059,0.053,,
BMW,7 Series E65/E66,735Li Saloon - up to February 2005 ,A6,3600,Petrol,16.0,8.5,11.2,17.7,33.2,25.2,271,1732,71.0,0.292,0.059,0.053,,
BMW,7 Series E65/E66,745i Saloon - up to February 2005 ,A6,4398,Petrol,16.2,8.6,11.4,17.4,32.8,24.8,276,1760,72.0,0.422,0.057,0.039,,
BMW,7 Series E65/E66,745Li Saloon - up to February 2005 ,A6,4398,Petrol,16.6,8.7,11.6,17.0,32.5,24.4,280,1789,72.0,0.422,0.057,0.039,,
BMW,7 Series E65/E66,760i Saloon - up to February 2005 ,A6,5972,Petrol,20.2,9.5,13.4,14.0,29.7,21.1,325,2068,73.0,0.459,0.046,0.038,,
BMW,7 Series E65/E66,760Li Saloon - up to February 2005 ,A6,5972,Petrol,20.5,9.7,13.6,13.8,29.1,20.8,330,2098,73.0,0.459,0.046,0.038,,
BMW,X3 Series E83,X3 2.0d ,M6,1995,Diesel,9.6,5.9,7.2,29.4,47.9,39.2,191,1169,75.0,0.109,,0.402,0.434,0.027
