Manufacturers,Model,Description,Line_2,Transmission,Engine Capacity,Fuel Type,Metric Urban (cold),Metric Extra-urban,Metric Combined,Imperial (cold),Imperial Extra-urban,Imperial Combined,CO2 g/km,Fuel Cost 6000 Miles,Euro Standard,Noise Level dB(A),Emissions CO,Emissions HC+NOx,Emissions HC,Emissions NOx,Emissions Particulates
JAGUAR CARS,Jaguar X Type,2.5,,M5,2497,Petrol,13.6,7.2,9.6,20.7,39.0,29.5,234,693,IV,74.0,0.222,,0.037,0.004
JAGUAR CARS,Jaguar X Type,3.0,,A5,2967,Petrol,15.1,7.8,10.5,18.7,36.4,27.0,249,758,IV,72.0,0.308,,0.051,0.009
JAGUAR CARS,Jaguar X Type,3.0,,M5,2967,Petrol,14.8,7.7,10.3,19.1,36.8,27.5,244,744,IV,74.0,0.370,,0.046,0.021
LAMBORGHINI,Diablo Model Year 2001,132,,M5,5992,Petrol,34.7,14.2,21.8,8.1,19.9,13.0,520,1574,IV,74.0,,,,
LAMBORGHINI,Diablo Model Year 2001,132 SE,,M5,5992,Petrol,34.7,14.2,21.8,8.1,19.9,13.0,520,1574,IV,74.0,,,,
LAMBORGHINI,Diablo Model Year 2001,Roadster L144,,M5,5992,Petrol,34.7,14.2,21.8,8.1,19.9,13.0,520,1574,IV,74.0,,,,
LEXUS,All Models,GS430,,A5,4293,Petrol,17.3,9.4,12.3,16.3,30.1,23.0,296,889,IV,71.0,0.112,,0.041,0.051
LEXUS,All Models,LS430,,A5,4293,Petrol,17.5,8.9,12.0,16.1,31.7,23.5,289,871,IV,72.0,0.230,,0.040,0.020
MITSUBISHI,Colt Space Star,1.3 CLASSIC,,M5,1299,Petrol,8.8,5.7,6.8,32.1,49.6,41.5,162,493,IV,73.0,0.230,,0.031,0.007
MITSUBISHI,Colt Space Star,1.3 MIRAGE,,M5,1299,Petrol,8.8,5.7,6.8,32.1,49.6,41.5,162,493,IV,73.0,0.230,,0.031,0.007
MITSUBISHI,Colt Space Star,1.6 EQUIPPE,,M5,1584,Petrol,9.3,6.0,7.2,30.4,47.2,39.2,171,522,IV,72.0,0.336,,0.044,0.010
MITSUBISHI,Colt Space Star,1.6 MIRAGE,,M5,1584,Petrol,9.3,6.0,7.2,30.4,47.2,39.2,171,522,IV,72.0,0.336,,0.044,0.010
