Manufacturer,Model,Description,Transmission,Engine Capacity,Fuel Type,Metric Urban (Cold),Metric Extra-Urban,Metric Combined,Imperial Urban (Cold),Imperial Extra-Urban,Imperial Combined,CO2 g/km,Fuel Cost 6000 Miles,Euro Standard,Noise Level dB(A),Emissions CO,Emissions HC+NOx,Emissions HC,Emissions NOx,Emissions Particulates
VOLKSWAGEN,Passat  Saloon,1.9 TDI PD (100 bhp),A4,1896,Diesel,9.6,5.4,6.9,29.4,52.3,40.9,186,500,III,72.0,0.160,0.465,,0.422,0.033
VOLKSWAGEN,Passat  Saloon,1.9 TDI PD (100 bhp),M5,1896,Diesel,7.1,4.6,5.5,39.8,61.4,51.4,149,398,III,72.0,0.137,0.454,,0.420,0.030
VOLKSWAGEN,Passat  Saloon,1.9 TDI PD Tiptronic (130 bhp),A5,1896,Diesel,10.1,5.6,7.2,28.0,50.4,39.2,194,522,III,70.0,0.131,0.440,,0.412,0.032
VOLKSWAGEN,Passat  Saloon,1.9 TDI PD (130 bhp),M5,1896,Diesel,7.8,4.8,5.8,36.2,58.9,48.7,154,420,III,72.0,0.080,0.469,,0.449,0.043
VOLKSWAGEN,Passat  Saloon,1.9 TDI PD (130 bhp),M6,1896,Diesel,7.6,4.8,5.8,37.2,58.9,48.7,157,420,III,74.0,0.065,0.422,,0.403,0.031
VOLKSWAGEN,Passat  Saloon,2.5 V6 TDI Tiptronic (150 bhp),A5,2496,Diesel,11.6,6.2,8.1,24.4,45.6,34.9,219,586,III,74.0,0.086,0.451,,0.418,0.033
VOLKSWAGEN,Passat  Saloon,2.5 V6 TDI (150 bhp),M6,2496,Diesel,10.0,5.4,7.0,28.2,52.3,40.4,189,506,III,72.0,0.314,0.374,,0.318,0.034
VOLKSWAGEN,Passat Estate,1.9 TDI PD (100 bhp),A4,1896,Diesel,9.7,5.5,7.0,29.1,51.4,40.4,189,506,III,72.0,0.160,0.465,,0.422,0.033
VOLKSWAGEN,Passat Estate,1.9 TDI PD (100 bhp),M5,1896,Diesel,7.3,4.8,5.7,38.7,58.9,49.6,154,412,III,72.0,0.137,0.454,,0.420,0.030
VOLKSWAGEN,Passat Estate,1.9 TDI PD Tiptronic (130 bhp),A5,1896,Diesel,10.1,5.7,7.2,28.0,49.6,39.2,194,522,III,70.0,0.131,0.442,,0.412,0.032
VOLKSWAGEN,Passat Estate,1.9 TDI PD (130 bhp),M5,1896,Diesel,7.9,4.9,5.9,35.8,57.6,47.9,157,427,III,72.0,0.080,0.469,,0.449,0.043
VOLKSWAGEN,Passat Estate,1.9 TDI PD (130 bhp),M6,1896,Diesel,7.7,5.0,6.0,36.7,56.5,47.1,162,434,III,74.0,0.065,0.422,,0.403,0.031
